doi,publication_year,original_submission_date,acceptance_date,publication_date,disruption,disruption_z,high_disruption,review_round_count,review_comment_round_count,total_review_days,reviewer_editor_processing_days,author_response_days_total,review_comment_total_sentences,author_response_total_words,author_response_total_sentences,article_words,reference_count,team_size,institution_count,log_article_words,log_reference_count,log_team_size,log_institution_count
10.1371/journal.pone.0224366,2019,2019-05-28,2019-10-15,2019-10-24,-5.172214861762611e-05,0.0772779690400033,0,3,2,140.0,44,85,131,4900,278,3418.0,66,6,3,8.137103389639302,4.204692619390966,1.9459101490553128,1.3862943611198906
10.1371/journal.pone.0224392,2019,2019-07-14,2019-10-21,2019-10-29,-0.0064167510976021,-1.1164121804977567,0,3,3,99.0,45,20,80,2767,144,1981.0,46,9,5,7.591861714889934,3.8501476017100575,2.302585092994046,1.791759469228055
10.1371/journal.pone.0224727,2019,2019-07-09,2019-10-29,2019-11-08,-7.240081088908195e-05,0.0733999166922613,0,2,2,112.0,54,51,61,2170,144,917.0,24,15,1,6.822197390620491,3.218875824868201,2.772588722239781,0.6931471805599453
10.1371/journal.pone.0225592,2019,2019-06-11,2019-11-14,2019-11-22,-0.0001721763085399,0.0546881355416019,0,2,2,156.0,212,-62,106,3083,199,1430.0,67,6,1,7.266128779556451,4.219507705176107,1.9459101490553128,0.6931471805599453
10.1371/journal.pone.0224892,2019,2019-06-18,2019-10-29,2019-11-07,0.0007898894154818,0.235112826014666,1,3,2,133.0,45,70,125,4239,264,1266.0,47,9,2,7.144407180321139,3.871201010907891,2.302585092994046,1.0986122886681098
10.1371/journal.pone.0226052,2020,2019-11-18,2020-07-13,2020-08-05,-0.0006662225183211,-0.0379647178482283,0,3,2,238.0,119,44,46,4760,191,1353.0,34,6,2,7.21081845347222,3.555348061489413,1.9459101490553128,1.0986122886681098
10.1371/journal.pone.0227977,2020,2019-09-08,2020-01-16,2020-01-24,-0.0004059639799232,0.0108438667016085,0,4,3,130.0,34,46,228,9884,594,2330.0,89,2,1,7.754052639035757,4.499809670330265,1.0986122886681098,0.6931471805599453
10.1371/journal.pone.0228349,2020,2019-07-08,2020-01-17,2020-01-27,-0.0021356113187399,-0.3135321898831942,0,3,2,193.0,59,81,183,5415,314,1396.0,36,6,2,7.242082359256962,3.610917912644224,1.9459101490553128,1.0986122886681098
10.1371/journal.pone.0230673,2020,2019-09-19,2020-03-10,2020-03-23,-0.0021138619182401,-0.3094533325295124,0,3,2,173.0,135,26,100,4626,251,2925.0,78,5,2,7.98139158158007,4.3694478524670215,1.791759469228055,1.0986122886681098
10.1371/journal.pone.0231588,2020,2019-11-21,2020-05-04,2020-05-18,-0.0009225092250922,-0.0860284296996795,0,2,2,165.0,79,48,63,3880,166,6239.0,73,11,7,8.738735461363474,4.30406509320417,2.4849066497880004,2.079441541679836
10.1371/journal.pone.0231590,2020,2019-11-14,2020-04-03,2020-04-16,-0.0003373819163292,0.0237056673946268,0,4,3,141.0,55,26,58,4909,285,1297.0,58,9,6,7.168579897264035,4.07753744390572,2.302585092994046,1.9459101490553128
10.1371/journal.pone.0232351,2020,2019-11-07,2020-04-17,2020-04-30,-0.0002378580879182,0.0423702507878337,0,3,3,162.0,59,44,102,2312,133,1633.0,78,6,2,7.3987862754199485,4.3694478524670215,1.9459101490553128,1.0986122886681098
10.1371/journal.pone.0232681,2020,2019-07-17,2020-04-29,2020-05-14,1.736533185149168e-05,0.0902345550278056,0,2,2,287.0,134,145,100,5931,285,1482.0,33,6,1,7.301822342137932,3.5263605246161616,1.9459101490553128,0.6931471805599453
