doi,publication_year,review_round,has_review_comments,round_start_date,review_date,author_response_date,round_review_days,author_response_days,round_review_comment_sentences,round_reviewer_count,round_author_response_words,round_author_response_sentences,disruption,disruption_z,high_disruption,article_words,reference_count,team_size,institution_count
10.1371/journal.pone.0224366,2019,1,1,2019-05-28,2019-06-24,2019-09-17,27.0,85.0,116,3,4305,253,-5.172214861762611e-05,0.0772779690400033,0.0,3418.0,66,6,3
10.1371/journal.pone.0224366,2019,2,1,2019-09-17,2019-10-04,,17.0,,15,2,594,26,-5.172214861762611e-05,0.0772779690400033,0.0,3418.0,66,6,3
10.1371/journal.pone.0224366,2019,3,0,,2019-10-14,,,,0,0,0,0,-5.172214861762611e-05,0.0772779690400033,0.0,3418.0,66,6,3
10.1371/journal.pone.0224392,2019,1,1,2019-07-14,2019-08-12,2019-09-01,29.0,20.0,75,3,2660,138,-0.0064167510976021,-1.1164121804977567,0.0,1981.0,46,9,5
10.1371/journal.pone.0224392,2019,2,1,2019-09-01,2019-09-17,,16.0,,2,1,106,7,-0.0064167510976021,-1.1164121804977567,0.0,1981.0,46,9,5
10.1371/journal.pone.0224392,2019,3,1,,2019-10-14,,,,3,1,0,0,-0.0064167510976021,-1.1164121804977567,0.0,1981.0,46,9,5
10.1371/journal.pone.0224727,2019,1,1,2019-07-09,2019-08-06,2019-09-26,28.0,51.0,57,4,2170,144,-7.240081088908195e-05,0.0733999166922613,0.0,917.0,24,15,1
10.1371/journal.pone.0224727,2019,2,1,2019-09-26,2019-10-22,,26.0,,4,2,0,0,-7.240081088908195e-05,0.0733999166922613,0.0,917.0,24,15,1
10.1371/journal.pone.0225592,2019,1,1,2019-06-11,2019-08-12,2019-06-11,62.0,-62.0,101,3,8,1,-0.0001721763085399,0.0546881355416019,0.0,1430.0,67,6,1
10.1371/journal.pone.0225592,2019,2,1,2019-06-11,2019-11-08,,150.0,,5,2,3074,199,-0.0001721763085399,0.0546881355416019,0.0,1430.0,67,6,1
10.1371/journal.pone.0224892,2019,1,1,2019-06-18,2019-07-15,2019-09-23,27.0,70.0,118,5,4084,254,0.0007898894154818,0.235112826014666,1.0,1266.0,47,9,2
10.1371/journal.pone.0224892,2019,2,1,2019-09-23,2019-10-11,,18.0,,7,3,154,11,0.0007898894154818,0.235112826014666,1.0,1266.0,47,9,2
10.1371/journal.pone.0224892,2019,3,0,,2019-10-24,,,,0,0,0,0,0.0007898894154818,0.235112826014666,1.0,1266.0,47,9,2
10.1371/journal.pone.0226052,2020,1,1,2019-11-18,2020-01-30,2020-03-14,73.0,44.0,40,3,4143,168,-0.0006662225183211,-0.0379647178482283,0.0,1353.0,34,6,2
10.1371/journal.pone.0226052,2020,2,1,2020-03-14,2020-04-29,,46.0,,6,1,616,24,-0.0006662225183211,-0.0379647178482283,0.0,1353.0,34,6,2
10.1371/journal.pone.0226052,2020,3,0,,2020-06-30,,,,0,0,0,0,-0.0006662225183211,-0.0379647178482283,0.0,1353.0,34,6,2
10.1371/journal.pone.0227977,2020,1,1,2019-09-08,2019-09-26,2019-11-11,18.0,46.0,164,4,7310,430,-0.0004059639799232,0.0108438667016085,0.0,2330.0,89,2,1
10.1371/journal.pone.0227977,2020,2,1,2019-11-11,2019-11-27,,16.0,,55,3,2282,149,-0.0004059639799232,0.0108438667016085,0.0,2330.0,89,2,1
10.1371/journal.pone.0227977,2020,3,1,,2019-12-23,,,,9,2,290,17,-0.0004059639799232,0.0108438667016085,0.0,2330.0,89,2,1
10.1371/journal.pone.0227977,2020,4,0,,2020-01-06,,,,0,0,0,0,-0.0004059639799232,0.0108438667016085,0.0,2330.0,89,2,1
10.1371/journal.pone.0228349,2020,1,1,2019-07-08,2019-08-18,2019-11-07,41.0,81.0,144,4,4392,249,-0.0021356113187399,-0.3135321898831942,0.0,1396.0,36,6,2
10.1371/journal.pone.0228349,2020,2,1,2019-11-07,2019-11-25,,18.0,,39,4,1022,66,-0.0021356113187399,-0.3135321898831942,0.0,1396.0,36,6,2
10.1371/journal.pone.0228349,2020,3,0,,2020-01-14,,,,0,0,0,0,-0.0021356113187399,-0.3135321898831942,0.0,1396.0,36,6,2
10.1371/journal.pone.0230673,2020,1,1,2019-09-19,2020-01-02,2020-01-28,105.0,26.0,88,4,3510,190,-0.0021138619182401,-0.3094533325295124,0.0,2925.0,78,5,2
10.1371/journal.pone.0230673,2020,2,1,2020-01-28,2020-02-27,,30.0,,12,1,1115,62,-0.0021138619182401,-0.3094533325295124,0.0,2925.0,78,5,2
10.1371/journal.pone.0230673,2020,3,0,,2020-03-06,,,,0,0,0,0,-0.0021138619182401,-0.3094533325295124,0.0,2925.0,78,5,2
